Rent, animes2/rent-a-girlfriend, Kanojo Okarishimasu
Clevatess, animes2/clevatess, Clevatess Majuu no Ou to Akago to Shikabane no Yuusha
Onmyo, animes2/onmyo-kaiten-rebirth, Onmyou Kaiten ReBirth Verse
DAN DA DAN, animes2/dan-da-dan, Dandadan, CR
Betrothed, animes2/bethroted-to-my-sisters-ex, Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai sareru
Night, animes/call-of-the-night, Yofukashi no Uta
Brink, animes2/watari-kuns-xxxxxx-is-about-to-collapse, Watari-kun no xx ga Houkai Sunzen
Silent, animes2/secrets-of-the-silent-witch, Silent Witch Chinmoku no Majo no Kakushigoto
Dress-Up, animes/my-dress-up-darling, Sono Bisque Doll wa Koi wo Suru
Dreaming, animes/grand-blue-dreaming, Grand Blue
Cuckoos, animes/a-couple-of-cuckoos, Kakkou no Iinazuke
Mikadono, animes2/dealing-with-mikadono-sisters-is-a-breeze, Mikadono Sanshimai wa Angai Choroi
Takopi's, animes2/takopis-original-sin, Takopi-no-genzai
